sigma,noise_percent,instance,method,length,reference_length,reference_solver,gap_percent
0.0,0.0,29,Attention:greedy_rollout,39.33993816061722,38.74156616693584,LKH,1.5445219511855097
0.0,0.0,29,PointerNet:batch_greedy_mean,44.95624651764605,38.74156616693584,LKH,16.04137613830944
0.0,0.0,29,PointerNet:greedy_rollout,41.276768604491565,38.74156616693584,LKH,6.543882161685566
0.0,0.0,29,POMO,38.741566166935854,38.74156616693584,LKH,3.6681157013549754e-14
0.0,0.0,30,Attention:batch_greedy_mean,41.739527125557046,39.25415412990302,LKH,6.331490388072629
0.0,0.0,30,Attention:greedy_rollout,40.24322564194327,39.25415412990302,LKH,2.519660744101458
0.0,0.0,30,PointerNet:batch_greedy_mean,47.043785036086426,39.25415412990302,LKH,19.844093138283732
0.0,0.0,30,PointerNet:greedy_rollout,42.991664894649325,39.25415412990302,LKH,9.521312705854854
0.0,0.0,30,POMO,39.643771970241524,39.25415412990302,LKH,0.9925518686484679
0.0,0.0,31,Attention:batch_greedy_mean,40.63817464261618,37.72739656632407,LKH,7.715290057650856
0.0,0.0,31,Attention:greedy_rollout,38.615872493282126,37.72739656632407,LKH,2.354988702695491
0.0,0.0,31,PointerNet:batch_greedy_mean,43.74940259768551,37.72739656632407,LKH,15.961891302981554
0.0,0.0,31,PointerNet:greedy_rollout,41.22889051517395,37.72739656632407,LKH,9.281037833327096
0.0,0.0,31,POMO,38.6401515665684,37.72739656632407,LKH,2.4193426616112377
0.0,0.0,32,Attention:batch_greedy_mean,43.14208088072114,39.699714970075476,LKH,8.671009132535135
0.0,0.0,32,Attention:greedy_rollout,45.21506965072729,39.699714970075476,LKH,13.89268080339904
0.0,0.0,32,PointerNet:batch_greedy_mean,45.56886647913288,39.699714970075476,LKH,14.783863091917421
0.0,0.0,32,PointerNet:greedy_rollout,42.142716177875954,39.699714970075476,LKH,6.1536996163371525
0.0,0.0,32,POMO,40.546492935437755,39.699714970075476,LKH,2.1329572920121866
0.0,0.0,33,Attention:batch_greedy_mean,41.1954031610969,39.73717175544033,LKH,3.6696909750677618
0.0,0.0,33,Attention:greedy_rollout,41.58187196985469,39.73717175544033,LKH,4.64225341895855
0.0,0.0,33,PointerNet:batch_greedy_mean,40.31076179912519,39.73717175544033,LKH,1.4434596584149968
0.0,0.0,33,PointerNet:greedy_rollout,41.1954031610969,39.73717175544033,LKH,3.6696909750677618
0.0,0.0,33,POMO,39.74089367459961,39.73717175544033,LKH,0.009366341374743133
0.0,0.0,34,Attention:batch_greedy_mean,37.94191154489318,36.435451985623956,LKH,4.134598247507993
0.0,0.0,34,Attention:greedy_rollout,38.07375953945381,36.435451985623956,LKH,4.4964655700614555
0.0,0.0,34,PointerNet:batch_greedy_mean,44.41813637751296,36.435451985623956,LKH,21.90911312157913
0.0,0.0,34,PointerNet:greedy_rollout,44.57523725738916,36.435451985623956,LKH,22.340288999233096
0.0,0.0,34,POMO,36.435451985623956,36.435451985623956,LKH,0.0
0.0,0.0,35,Attention:batch_greedy_mean,30.75422357077383,29.9510066178525,LKH,2.6817694749617167
0.0,0.0,35,Attention:greedy_rollout,29.9510066178525,29.9510066178525,LKH,0.0
0.0,0.0,35,PointerNet:batch_greedy_mean,35.49019899780558,29.9510066178525,LKH,18.49417767699135
0.0,0.0,35,PointerNet:greedy_rollout,31.351432325468146,29.9510066178525,LKH,4.675721672676314
0.0,0.0,35,POMO,30.00718436338915,29.9510066178525,LKH,0.18756546734281004
0.0,0.0,36,Attention:batch_greedy_mean,41.431008823443044,40.89964053879176,LKH,1.2992003784172712
