method,instance,permutation,length_abs_diff,hamming_distance,perfect_match
Attention:batch_greedy_mean,93,0,0.0,0.0,True
Attention:batch_greedy_mean,93,1,0.0,0.0,True
Attention:batch_greedy_mean,93,2,0.0,0.0,True
Attention:batch_greedy_mean,93,3,0.0,0.0,True
Attention:batch_greedy_mean,93,4,0.0,0.0,True
Attention:batch_greedy_mean,94,0,0.0,0.0,True
Attention:batch_greedy_mean,94,1,0.0,0.0,True
Attention:batch_greedy_mean,94,2,0.0,0.0,True
Attention:batch_greedy_mean,94,3,0.0,0.0,True
Attention:batch_greedy_mean,94,4,0.0,0.0,True
Attention:batch_greedy_mean,95,0,0.0,0.0,True
Attention:batch_greedy_mean,95,1,0.0,0.0,True
Attention:batch_greedy_mean,95,2,0.0,0.0,True
Attention:batch_greedy_mean,95,3,0.0,0.0,True
Attention:batch_greedy_mean,95,4,0.0,0.0,True
Attention:batch_greedy_mean,96,0,0.0,0.0,True
Attention:batch_greedy_mean,96,1,0.0,0.0,True
Attention:batch_greedy_mean,96,2,0.0,0.0,True
Attention:batch_greedy_mean,96,3,0.0,0.0,True
Attention:batch_greedy_mean,96,4,0.0,0.0,True
Attention:batch_greedy_mean,97,0,0.0,0.0,True
Attention:batch_greedy_mean,97,1,0.0,0.0,True
Attention:batch_greedy_mean,97,2,0.0,0.0,True
Attention:batch_greedy_mean,97,3,0.0,0.0,True
Attention:batch_greedy_mean,97,4,0.0,0.0,True
Attention:batch_greedy_mean,98,0,0.0,0.0,True
Attention:batch_greedy_mean,98,1,0.0,0.0,True
Attention:batch_greedy_mean,98,2,0.0,0.0,True
Attention:batch_greedy_mean,98,3,0.0,0.0,True
